player_a,player_b,label
Marton Fucsovics,Luca Van Assche,0
Rafael Jodar,Felix Gill,1
Jenson Brooksby,Aleksandar Vukic,1
Pablo Carreno Busta,Denis Shapovalov,0
Shintaro Mochizuki,Max Basing,1
Learner Tien,Dalibor Svrcina,1
Tommy Paul,Alexandre Muller,1
Ignacio Buse,Emilio Nava,1
Botic van de Zandschulp,Aleksandar Kovacevic,1
Martin Damm,Marco Trungelliti,1
Daniel Merida,Camilo Ugo Carabelli,0
Roman Safiullin,Andrey Rublev,0
Hubert Hurkacz,Casper Ruud,0
Nuno Borges,Tristan Boyer,1
Sebastian Ofner,Hamad Medjedovic,0
Joao Fonseca,Roberto Bautista Agut,1
Jannik Sinner,Miomir Kecmanovic,1
Ethan Quinn,Luciano Darderi,0
Michael Zheng,Cameron Norrie,0
Stefanos Tsitsipas,Hugo Gaston,1
Daniil Medvedev,Marin Cilic,1
Arthur Rinderknech,Oliver Tarvet,1
Soonwoo Kwon,Martin Landaluce,0
Fabian Marozsan,Thiago Agustin Tirante,0
Dino Prizmic,Adam Walton,1
Jan-Lennard Struff,Sebastian Baez,0
Felix Auger-Aliassime,Alexander Shevchenko,1
Alejandro Davidovich Fokina,Juan Manuel Cerundolo,1
Nicolas Mejia,Adolfo Daniel Vallejo,0
Novak Djokovic,Yibing Wu,1
Adrian Mannarino,Titouan Droguet,1
Kamil Majchrzak,Alejandro Tabilo,0
Yannick Hanfmann,Giovanni Mpetshi Perricard,0
Alex de Minaur,Roman Andres Burruchaga,1
Jaime Faria,Sho Shimabukuro,0
Valentin Royer,Harry Wendelken,1
Zachary Svajda,Pablo Llamas Ruiz,1
Brandon Nakashima,Jack Pinnington Jones,1
Jesper de Jong,Rinky Hijikata,0
Taylor Fritz,Dusan Lajovic,1
Jaume Munar,Francisco Cerundolo,0
Quentin Halys,Matteo Arnaldi,0
Gabriel Diallo,Benjamin Bonzi,0
Jacob Fearnley,Alex Michelsen,0
Arthur Fery,Damir Dzumhur,1
Otto Virtanen,Ben Shelton,0
Alexander Bublik,Thanasi Kokkinakis,1
Karen Khachanov,Billy Harris,1
Zizou Bergs,Ugo Humbert,0
Kyrian Jacquet,Vilius Gaubas,1
Patrick Kypson,Mackenzie McDonald,1
Alexander Zverev,Alexander Blockx,1
Jakub Mensik,Toby Samuel,1
Arthur Fils,Raphael Collignon,1
Lorenzo Sonego,Tomas Martin Etcheverry,0
James Duckworth,Tallon Griekspoor,1
Marcos Giron,Corentin Moutet,0
Jiri Lehecka,Alexei Popyrin,1
Jan Choinski,Vit Kopriva,0
Grigor Dimitrov,Dane Sweeny,0
Matteo Berrettini,Stan Wawrinka,1
Jenson Brooksby,Ignacio Buse,0
Hubert Hurkacz,Sebastian Ofner,1
Tommy Paul,Soonwoo Kwon,1
Alex Molcan,Daniel Altmaier,0
Marton Fucsovics,Learner Tien,0
Alejandro Davidovich Fokina,Fabian Marozsan,1
Flavio Cobolli,Mariano Navone,1
Jannik Sinner,Nuno Borges,1
Daniil Medvedev,Daniel Merida,1
Joao Fonseca,Jesper de Jong,1
Arthur Rinderknech,Martin Damm,1
Michael Zheng,Nicolas Mejia,1
Frances Tiafoe,Terence Atmane,1
Shintaro Mochizuki,Ethan Quinn,0
Roman Safiullin,Botic van de Zandschulp,0
Novak Djokovic,Stefanos Tsitsipas,1
Felix Auger-Aliassime,Dino Prizmic,1
Alex de Minaur,Adrian Mannarino,1
Taylor Fritz,Patrick Kypson,1
Zizou Bergs,Jaime Faria,1
Arthur Fery,Otto Virtanen,0
Lorenzo Sonego,Gabriel Diallo,1
Rafael Jodar,Pablo Carreno Busta,1
Jan-Lennard Struff,Brandon Nakashima,0
Alexander Zverev,Valentin Royer,1
Flavio Cobolli,James Duckworth,1
Karen Khachanov,Yannick Hanfmann,1
Matteo Berrettini,Arthur Fils,0
Marcos Giron,Quentin Halys,1
Jaume Munar,Jacob Fearnley,1
Zachary Svajda,Kamil Majchrzak,1
Jiri Lehecka,Alex Molcan,1
Alexander Bublik,Kyrian Jacquet,1
Frances Tiafoe,Jan Choinski,1
Grigor Dimitrov,Jakub Mensik,0
Roman Safiullin,Joao Fonseca,0
Shintaro Mochizuki,Rafael Jodar,0
Novak Djokovic,Arthur Rinderknech,1
Jannik Sinner,Jenson Brooksby,1
Jan-Lennard Struff,Daniil Medvedev,0
Hubert Hurkacz,Tommy Paul,0
Alejandro Davidovich Fokina,Marton Fucsovics,1
Felix Auger-Aliassime,Michael Zheng,1
Alex de Minaur,Zachary Svajda,1
Flavio Cobolli,Karen Khachanov,1
Alexander Zverev,Marcos Giron,1
Jiri Lehecka,Jaume Munar,1
Arthur Fery,Zizou Bergs,0
Alexander Bublik,Frances Tiafoe,0
Taylor Fritz,Lorenzo Sonego,1
Grigor Dimitrov,Matteo Berrettini,0
Novak Djokovic,Roman Safiullin,1
Felix Auger-Aliassime,Alejandro Davidovich Fokina,1
Jan-Lennard Struff,Hubert Hurkacz,1
Jannik Sinner,Shintaro Mochizuki,1
Flavio Cobolli,Alex de Minaur,0
Taylor Fritz,Alexander Bublik,1
Arthur Fery,Grigor Dimitrov,1
Jannik Sinner,Jan-Lennard Struff,1
Alexander Zverev,Jiri Lehecka,1
Novak Djokovic,Felix Auger-Aliassime,0
Alexander Zverev,Taylor Fritz,0
Arthur Fery,Flavio Cobolli,0
Alexander Zverev,Arthur Fery,1
Jannik Sinner,Novak Djokovic,1
Jannik Sinner,Alexander Zverev,1
