player,rank,age,elo,recent_form,bp_pressure,grass_elo,grass_form,clay_elo,clay_form,hard_elo,hard_form
Aaron Gil Garcia,1361.0,21.947,1486.4867342669477,0.5,5.0,1500.0,0.5,1486.4044555026792,0.5,1500.0,0.5
Abdullah Shelbayh,267.0,21.257,1430.6896319895204,0.2,7.1,1454.4239339480275,0.5,1483.2157703576922,0.3333333333333333,1448.488467561948,0.25
Adam Hornby,2000.0,21.708,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Adam Moundir,720.0,27.937,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Adam Neff,829.0,22.686,1490.7610034152565,0.5,5.0,1500.0,0.5,1500.0,0.5,1488.7104849960922,0.5
Adam Pavlasek,185.0,23.636,1482.8110787453859,0.2857142857142857,9.285714285714286,1500.0,0.5,1504.144424388005,0.5,1446.7216573784265,0.5
Adam Walton,97.0,27.113,1579.4927876880697,0.4,7.8,1472.6406909425305,0.4,1511.6700478205123,0.4444444444444444,1559.7246422388737,0.3
Adolfo Daniel Vallejo,71.0,22.081,1665.97627236557,0.7,5.9,1500.0,0.5,1634.6036939134895,0.7,1500.0,0.5
Adria Soriano Barrera,390.0,26.705,1513.790000927862,0.6666666666666666,5.0,1500.0,0.5,1482.4388515481412,0.5,1500.0,0.5
Adrian Andreev,319.0,20.378,1475.295585049585,0.2857142857142857,8.428571428571429,1500.0,0.5,1500.0,0.5,1475.918824616051,0.2857142857142857
Adrian Bodmer,485.0,22.913,1471.7463872414644,0.5,5.0,1500.0,0.5,1500.0,0.5,1468.8688327424852,0.5
Adrian Boitan,306.0,26.722,1483.9818185618349,0.5,5.0,1500.0,0.5,1483.6978420371602,0.5,1500.0,0.5
Adrian Mannarino,44.0,37.966,1602.9044933958298,0.4,8.7,1647.0326793608629,0.7,1211.256971355595,0.1,1639.47005870488,0.6
Adrian Menendez-Maceiras,139.0,33.443,1380.2932820504948,0.3,8.4,1516.3333778537924,0.5,1403.916870916684,0.0,1484.6884394201566,0.375
Adrian Ungur,674.0,33.645,1516.0844374379574,0.5,5.0,1500.0,0.5,1483.3876974884897,0.5,1516.0,0.5
Adrien Bossel,485.0,30.103,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Agustin Velotti,184.0,24.706,1483.2103048605286,0.5,5.0,1500.0,0.5,1483.2565480692822,0.5,1500.0,0.5
Ainius Sabaliauskas,2000.0,14.527,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Aisam-Ul-Haq Qureshi,2000.0,43.882,1546.7820811017052,0.625,4.0,1517.6511633585962,0.5714285714285714,1500.0,0.5,1516.0,0.5
Ajeet Rai,498.0,25.656,1407.4701855753015,0.0,9.666666666666666,1500.0,0.5,1500.0,0.5,1408.390786040844,0.0
Akira Santillan,163.0,20.345,1452.5825670677482,0.3333333333333333,3.8333333333333335,1516.0,0.5,1486.80013206597,0.5,1466.0751032182447,0.3333333333333333
Alaa Trifi,1171.0,19.082,1488.2640805583137,0.5,5.0,1500.0,0.5,1500.0,0.5,1488.9985253266677,0.5
Alan Fernando Rubio Fierros,707.0,25.613,1498.111993637157,0.5,5.0,1500.0,0.5,1500.0,0.5,1498.0281545114713,0.5
Alan Magadan,818.0,24.723,1458.2177806148104,0.5,5.0,1500.0,0.5,1500.0,0.5,1470.1472476409676,0.5
Alastair Gray,288.0,24.014,1444.812562328827,0.5,5.0,1425.5034838245601,0.5,1500.0,0.5,1500.0,0.5
Albert Montanes,312.0,36.408,1481.9241984702187,0.5,5.0,1500.0,0.5,1484.322433664258,0.5,1500.0,0.5
Albert Ramos-Vinolas,122.0,36.608,1426.783877515999,0.3,7.1,1313.4608352167563,0.2,1485.5673985689946,0.4,1362.3108132728441,0.1
Alberto Emmanuel Alvarado Larin,2000.0,23.176,1454.4219026582168,0.5,5.0,1500.0,0.5,1500.0,0.5,1453.2858821799973,0.5
Alberto Lim,1371.0,18.721,1498.4441679122178,0.5,5.0,1500.0,0.5,1500.0,0.5,1498.4441679122178,0.5
Aldin Setkic,165.0,29.821,1485.9704412213632,0.5,5.0,1500.0,0.5,1500.0,0.5,1485.9380765861779,0.5
Alec Beckley,641.0,23.242,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Alejandro Davidovich Fokina,22.0,27.039,1722.608915897449,0.5,9.7,1615.3951067551081,0.7,1669.3447532017447,0.5,1767.660785388198,0.6
Alejandro Falla,310.0,33.232,1481.5260664879168,0.5,5.0,1500.0,0.5,1484.0,0.5,1500.0,0.5
Alejandro Gonzalez,453.0,33.068,1538.9498550609921,0.5,7.0,1500.0,0.5,1455.865286027562,0.5,1549.9801183951495,0.6666666666666666
Alejandro Mendoza,1290.0,28.003,1484.0,0.5,5.0,1500.0,0.5,1484.0,0.5,1500.0,0.5
Alejandro Moro Canas,169.0,24.06,1485.8917425932477,0.3333333333333333,9.333333333333334,1482.6524889047812,0.5,1500.0,0.5,1488.6058146679482,0.5
Alejandro Tabilo,31.0,29.038,1743.8099000491293,0.5,5.4,1603.2103150190565,0.8,1686.9403885668623,0.5,1633.9207034713218,0.5
Aleksandar Kovacevic,68.0,27.797,1582.7014468149514,0.3,5.7,1436.4295939155113,0.25,1453.9880154701038,0.3,1590.794090913639,0.5
Aleksandar Vukic,96.0,30.133,1526.4825123553317,0.4,6.3,1490.4422914100342,0.4,1390.4068667498616,0.2,1569.7001379445378,0.4
Aleksandr Nedovyesov,195.0,30.141,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Aleksandre Bakshi,512.0,27.168,1469.3591906720771,0.5,5.0,1500.0,0.5,1500.0,0.5,1484.5654846122907,0.5
Aleksandre Metreveli,570.0,28.4,1469.298050499775,0.3333333333333333,7.666666666666667,1500.0,0.5,1500.0,0.5,1459.5665118655343,0.3333333333333333
Alen Avidzba,498.0,19.636,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Alessandro Bega,351.0,26.552,1479.9159181619248,0.5,5.0,1500.0,0.5,1500.0,0.5,1487.5587777403955,0.5
Alessandro Giannessi,224.0,32.843,1416.4650002784156,0.3,13.4,1500.0,0.5,1476.1772861412578,0.4,1400.280749988044,0.2
Alex Barrena,183.0,23.373,1458.6057658328182,0.5,5.0,1500.0,0.5,1456.894855020019,0.5,1500.0,0.5
Alex Bolt,165.0,33.238,1577.3698614331574,0.4,5.8,1406.1695542238667,0.3,1528.0324886005433,0.5,1519.6847327880432,0.3
Alex De Minaur,6.0,27.321,1556.4434863674292,0.6666666666666666,6.666666666666667,1544.5541976166462,0.5,1490.121928188083,0.5,1527.9536435955208,0.5
Alex Diaz,2000.0,20.507,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Alex Hernandez,493.0,26.059,1495.960284057278,0.3333333333333333,8.333333333333334,1500.0,0.5,1500.0,0.5,1486.54974571503,0.3333333333333333
Alex Knaff,2000.0,28.219,1519.7799194938825,0.6,5.2,1500.0,0.5,1478.6809569077589,0.5,1569.394011650152,0.5
Alex Michelsen,42.0,21.758,1767.6909827468633,0.5,6.0,1616.7478904757984,0.6,1549.5560625317664,0.5,1792.5064319316466,0.7
Alex Molcan,166.0,28.378,1745.4006567234421,0.7,4.2,1521.6668704441972,0.5,1747.7657276465295,0.8,1596.23510356966,0.6
Alex Rybakov,378.0,26.026,1492.0019544993195,0.5,5.0,1500.0,0.5,1500.0,0.5,1490.9519686754568,0.5
Alex Santino Nunez Vera,112.0,18.504,1484.0,0.5,5.0,1500.0,0.5,1484.0,0.5,1500.0,0.5
Alex de Minaur,6.0,27.335,1875.0325431178408,0.8,8.2,1785.8441814679363,0.8,1811.8151298339506,0.6,1915.9601020457803,0.7
Alexandar Lazarov,709.0,25.999,1427.8257028339397,0.16666666666666666,6.0,1500.0,0.5,1500.0,0.5,1415.1108387990162,0.16666666666666666
Alexander Blockx,37.0,21.125,1850.039800249445,0.7,5.4,1482.731827605314,0.5,1780.4763085798274,0.7,1570.1536216525246,0.6
Alexander Bublik,11.0,28.997,1738.0976343892878,0.5,5.3,1758.329562626235,0.8,1720.563592390891,0.5,1787.8499220267183,0.6
Alexander Donski,1529.0,19.515,1482.5068201109714,0.5,5.0,1500.0,0.5,1500.0,0.5,1481.7897634563049,0.5
Alexander Erler,337.0,23.745,1525.559750960419,0.5,5.0,1500.0,0.5,1524.3224269968541,0.5,1500.0,0.5
Alexander Fairbanks,2000.0,21.977,1486.6090898256734,0.5,5.0,1500.0,0.5,1484.0,0.5,1500.0,0.5
Alexander Ritschard,125.0,31.02,1463.6553526643256,0.3,8.3,1500.0,0.5,1449.7810756472888,0.3333333333333333,1509.2569612033349,0.5
Alexander Sarkissian,478.0,31.294,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Alexander Shevchenko,88.0,25.651,1614.2537423368935,0.4,5.5,1445.3382722823023,0.25,1528.3376814806672,0.5,1669.3503664829243,0.5
Alexander Vasilev,1025.0,18.757,1570.987707029811,0.5,5.0,1500.0,0.5,1537.6639431362041,0.5,1500.0,0.5
Alexander Ward,869.0,27.176,1481.1770393045392,0.5,5.0,1481.373262355635,0.5,1500.0,0.5,1500.0,0.5
Alexander Zgirovsky,1233.0,20.192,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Alexander Zverev,3.0,29.166,2146.503810093768,1.0,3.1,1758.0565623099249,0.7,2018.3315034037319,0.8,2036.0033933566147,0.8
Alexandr Cozbinov,2000.0,24.684,1448.8524262030046,0.5,5.0,1500.0,0.5,1500.0,0.5,1450.9076405989083,0.5
Alexandr Dolgopolov,54.0,29.514,1595.6625536939985,0.5,7.4,1490.0306657953395,0.5,1518.5809383531437,0.5,1609.961902747354,0.5
Alexandre Muller,127.0,29.311,1509.9082137135524,0.3,7.9,1491.179436044521,0.3333333333333333,1551.745932777802,0.4,1562.6571978378568,0.5
Alexandros Skorilas,1199.0,21.509,1516.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1516.0,0.5
Alexei Popyrin,90.0,26.864,1655.299209518052,0.4,4.6,1425.0340812805462,0.4,1718.8848988980608,0.5,1531.383816612309,0.2
Alexey Vatutin,336.0,31.964,1389.1974840602252,0.25,9.375,1500.0,0.5,1464.0122982258365,0.4,1432.7314530869444,0.5
Alexios Halebian,644.0,23.146,1484.7584449480767,0.5,5.0,1500.0,0.5,1500.0,0.5,1486.4169054715198,0.5
Alexis Galarneau,187.0,27.272,1542.1322817964012,0.375,6.25,1500.0,0.5,1500.0,0.5,1549.6471809758814,0.5
Alexis Klegou,1881.0,33.103,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Alibek Kachmazov,183.0,22.908,1507.6955606193526,0.4,6.2,1500.0,0.5,1500.0,0.5,1496.3139390617544,0.4
Aljaz Bedene,347.0,33.114,1458.9316938694094,0.3,9.6,1435.4540530227994,0.3,1528.8033511297353,0.4,1525.9045746875488,0.4
Altug Celikbilek,371.0,27.403,1565.6246406556638,0.6,6.7,1511.8720564872795,0.5,1471.4885405481339,0.5,1574.155375623807,0.6
Alvaro Guillen Meza,201.0,23.118,1510.6308429843803,0.5,6.25,1500.0,0.5,1519.620107605112,0.5,1500.0,0.5
Alvaro Lopez San Martin,298.0,25.969,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Amine Ahouda,727.0,20.575,1489.5840835740305,0.5,6.0,1500.0,0.5,1526.673867066428,0.6666666666666666,1500.0,0.5
Amir Hossein Badi,2000.0,19.154,1484.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1484.0,0.5
